
Josh Currie,Josh Currie,1.0
Josh Leivo,Josh Leivo,1.0
Josh Mahura,Josh Mahura,1.0
Josh Manson,Josh Manson,1.0
Josh Morrissey,Josh Morrissey,1.0
John Tavares,Josh Teves,0.7272727272727273
Josh HoSang,Joshua HoSang,0.9166666666666666
Joshua Brown,Joshua Jacobs,0.64
Juho Lammikko,Juho Lammikko,1.0
Jujhar Khaira,Jujhar Khaira,1.0
Julien Gauthier,Julien Gauthier,1.0
Julius Honka,Julius Honka,1.0
Justin Abdelkader,Justin Abdelkader,1.0
Justin Bailey,Justin Bailey,1.0
Justin Braun,Justin Braun,1.0
Justin Dowling,Justin Dowling,1.0
Justin Falk,Justin Falk,1.0
Justin Faulk,Justin Faulk,1.0
Justin Holl,Justin Holl,1.0
Justin Falk,Justin Kloos,0.6956521739130435
Justin Schultz,Justin Schultz,1.0
Justin Williams,Justin Williams C,0.9375
Juuse Saros,Juuse Saros,1.0
Juuso Riikola,Juuso Riikola,1.0
Juuso Valimaki,Juuso Valimaki,1.0
Kaapo Kahkonen,Kaapo Kahkonen,1.0
Kaapo Kakko,Kaapo Kakko,1.0
Haydn Fleury,Kaden Fulcher,0.64
Kailer Yamamoto,Kailer Yamamoto,1.0
Kalle Kossila,Kalle Kossila,1.0
Karl Alzner,Karl Alzner,1.0
Karson Kuhlman,Karson Kuhlman,1.0
Kasperi Kapanen,Kasperi Kapanen,1.0
Keith Kinkaid,Keith Kinkaid,1.0
Keith Yandle,Keith Yandle,1.0
Kenny Agostino,Kenny Agostino,1.0
Kirby Dach,Kerby Rychel,0.6363636363636364
Kevan Miller,Kevan Miller,1.0
Kevin Boyle,Kevin Boyle,1.0
Kevin Connauton,Kevin Connauton,1.0
Kevin Fiala,Kevin Fiala,1.0
Kevin Gravel,Kevin Gravel,1.0
Kevin Hayes,Kevin Hayes,1.0
Kevin Labanc,Kevin Labanc,1.0
Kevin Rooney,Kevin Rooney,1.0
Kevin Roy,Kevin Roy,1.0
Kevin Shattenkirk,Kevin Shattenkirk,1.0
Kevin Stenlund,Kevin Stenlund,1.0
Kiefer Sherwood,Kiefer Sherwood,1.0
Kirby Dach,Kirby Dach,1.0
Kiefer Sherwood,Kole Sherwood,0.7857142857142857
Korbinian Holzer,Korbinian Holzer,1.0
Kris Letang,Kris Letang,1.0
Kris Russell,Kris Russell,1.0
Christian Wolanin,Kristian Vesalainen,0.6666666666666666
Kurtis Gabriel,Kurtis Gabriel,1.0
Kurtis MacDermid,Kurtis MacDermid,1.0
Kyle Brodziak,Kyle Brodziak,1.0
Kyle Capobianco,Kyle Capobianco,1.0
Kyle Clifford,Kyle Clifford,1.0
Kyle Connor,Kyle Connor,1.0
Kyle Okposo,Kyle Okposo,1.0
Kyle Palmieri,Kyle Palmieri,1.0
Kyle Rau,Kyle Rau,1.0
Kyle Turris,Kyle Turris,1.0
Madison Bowey,Landon Bow,0.6956521739130435
Lars Eller,Lars Eller,1.0
Laurent Brossoit,Laurent Brossoit,1.0
Laurent Dauphin,Laurent Dauphin,1.0
Lawrence Pilut,Lawrence Pilut,1.0
Lawson Crouse,Lawson Crouse,1.0
Lee Stempniak,Lee Stempniak,1.0
Leo Komarov,Leo Komarov,1.0
Leon Draisaitl,Leon Draisaitl,1.0
Lias Andersson,Lias Andersson,1.0
Libor Hajek,Libor Hajek,1.0
Libor Sulak,Libor Sulak,1.0
Linus Ullmark,Linus Ullmark,1.0
Logan Brown,Logan Brown,1.0
Logan Couture,Logan Couture,1.0
Logan Couture,Logan Couture C,0.9285714285714286
Logan OConnor,Logan OConnor,1.0
Logan Shaw,Logan Shaw,1.0
Loui Eriksson,Loui Eriksson,1.0
Louie Belpedio,Louie Belpedio,1.0
Louis Domingue,Louis Domingue,1.0
Luca Sbisa,Luca Sbisa,1.0
Lucas Wallmark,Lucas Wallmark,1.0
Lukas Radil,Lukas Radil,1.0
Lukas Sedlak,Lukas Sedlak,1.0
Luke Glendening,Luke Glendening,1.0
