"","Team","PlayerPosition","GameDate","Goals","Assists","Points","PlusMinus","Penalties","EGoals","PPGoals","SHGoals","GWGoals","EVAssits","PPAssits","SHAssits","ShotsOnGoal","ShootingPer","Shits","MP","Hits","Blocks","FaceOffWins","FaceOffLoss","FaceOffPer","GoalsOpp","AssistsOpp","EVAssitsOpp","ShotsOnGoalOpp","HitsOpp","BlocksOpp"
"86","CBJ","C","2019-03-02",0.1,0.36,0.46,0.64,0.28,0.1,0,0,0.02,0.3,0.04,0.02,1.6,8.5,18.7,834.9,1.58,0.38,6.5,4.2,34.878,0.4,0.44,0.36,1.96,1.4,0.46
"87","CBJ","F","2019-03-02",0.32,0.26,0.58,1.14,0.42,0.26,0.04,0.02,0.04,0.24,0.02,0,2.34,12.532,20.68,990.28,1.16,0.4,0.92,1.26,5.712,0.16,0.38,0.34,1.76,1.58,0.46
"88","CBJ","D","2019-02-28",0,0.28,0.28,0.96,0.42,0,0,0,0,0.18,0.08,0.02,1.52,0,24.76,1156.5,1.66,1,0,0,0,0.12,0.2,0.08,1.6,1.34,1.68
"89","CBJ","C","2019-02-28",0.12,0.3,0.42,0.7,0.32,0.12,0,0,0.04,0.24,0.04,0.02,1.64,9.5,18.7,836.16,1.58,0.5,6.56,4.6,41.436,0.14,0.38,0.22,1.84,1.06,0.68
"90","CBJ","F","2019-02-28",0.28,0.24,0.52,1.14,0.34,0.22,0.04,0.02,0.04,0.22,0.02,0,2.18,11.798,20.52,987.04,1.24,0.38,0.94,1.16,10.334,0.24,0.3,0.24,1.72,1.7,0.4
"91","CBJ","D","2019-02-26",0.02,0.32,0.34,0.88,0.42,0.02,0,0,0,0.22,0.08,0.02,1.66,1,25.16,1182.24,1.6,1,0,0,0,0.06,0.26,0.2,1.5,1.14,1.42
"92","CBJ","C","2019-02-26",0.18,0.26,0.44,0.56,0.32,0.18,0,0,0.04,0.2,0.04,0.02,1.62,11.5,18.38,815.12,1.66,0.54,6.36,4.76,41.472,0.2,0.28,0.18,1.7,1.28,0.62
"93","CBJ","F","2019-02-26",0.34,0.26,0.6,0.98,0.42,0.28,0.04,0.02,0.06,0.26,0,0,2.34,13.132,20.92,999.8,1.3,0.34,1.12,1.44,13.866,0.18,0.26,0.22,1.58,1.3,0.36
"94","CBJ","D","2019-02-23",0.02,0.34,0.36,0.84,0.38,0.02,0,0,0,0.26,0.06,0.02,1.56,1,24.5,1156.64,1.58,1.06,0,0,0,0.08,0.22,0.2,1.46,1.76,1.38
"95","CBJ","C","2019-02-23",0.12,0.24,0.36,0.6,0.36,0.12,0,0,0.02,0.22,0,0.02,1.6,7,17.96,790.56,1.76,0.62,6.24,4.54,44.314,0.16,0.42,0.24,2.04,0.94,0.54
"96","CBJ","F","2019-02-23",0.3,0.22,0.52,0.96,0.46,0.28,0,0.02,0.08,0.22,0,0,2.2,13.966,19.74,952.18,1.22,0.4,0.98,1.1,12.022,0.22,0.22,0.12,1.6,1.46,0.4
"97","CBJ","D","2019-02-22",0.02,0.34,0.36,0.84,0.34,0.02,0,0,0,0.26,0.08,0,1.3,1,24.3,1149,1.52,1.18,0,0,0,0.08,0.26,0.24,1.34,1.62,1.38
"98","CBJ","C","2019-02-22",0.12,0.22,0.34,0.62,0.32,0.12,0,0,0.02,0.22,0,0,1.46,7,17.86,770.82,1.84,0.66,6.2,4.5,43.5,0.12,0.3,0.16,1.98,0.94,0.4
